point,process,role,description,source_page,include_as_sensor,include_as_control,mapping_confidence,constant,active_in_train
P4_HT_PO,P4,MODEL_SIGNAL,Hydro-turbine output power,14,True,False,high,False,True
P4_HT_PS,P4,SP,Hydro-turbine scheduled-power demand,14,False,True,high,False,True
P4_LD,P4,SP,Total electrical-load demand,14,False,True,high,False,True
P4_ST_FD,P4,MODEL_SIGNAL,Steam-turbine frequency deviation,14,True,False,high,False,True
P4_ST_GOV,P4,CO,Steam-turbine gate-opening command,14,False,True,high,False,True
P4_ST_LD,P4,SP,Steam-turbine electrical-load demand,14,False,True,high,False,True
P4_ST_PO,P4,MODEL_SIGNAL,Steam-turbine output power,14,True,False,high,False,True
P4_ST_PS,P4,SP,Steam-turbine scheduled-power demand,14,False,True,high,False,True
P4_ST_PT01,P4,MODEL_SIGNAL,Steam-pressure digital signal,14,True,False,high,False,True
P4_ST_TT01,P4,MODEL_SIGNAL,Steam-temperature digital signal,14,True,False,high,False,True
