file,label,event_index,start_row,end_row,start_time,end_time,duration_seconds
test2.csv.gz,attack,20,114963,115081,2020-07-10 22:56:03,2020-07-10 22:58:01,119
test2.csv.gz,attack_P1,1,9480,9901,2020-07-09 17:38:00,2020-07-09 17:45:01,422
test2.csv.gz,attack_P1,2,14346,14349,2020-07-09 18:59:06,2020-07-09 18:59:09,4
test2.csv.gz,attack_P1,3,14352,14355,2020-07-09 18:59:12,2020-07-09 18:59:15,4
test2.csv.gz,attack_P1,4,14359,14359,2020-07-09 18:59:19,2020-07-09 18:59:19,1
test2.csv.gz,attack_P1,5,14361,14362,2020-07-09 18:59:21,2020-07-09 18:59:22,2
test2.csv.gz,attack_P1,6,18600,18858,2020-07-09 20:10:00,2020-07-09 20:14:18,259
test2.csv.gz,attack_P1,7,22500,22504,2020-07-09 21:15:00,2020-07-09 21:15:04,5
test2.csv.gz,attack_P1,8,22514,22517,2020-07-09 21:15:14,2020-07-09 21:15:17,4
test2.csv.gz,attack_P1,9,22527,22530,2020-07-09 21:15:27,2020-07-09 21:15:30,4
test2.csv.gz,attack_P1,10,22540,22543,2020-07-09 21:15:40,2020-07-09 21:15:43,4
test2.csv.gz,attack_P1,11,22553,22557,2020-07-09 21:15:53,2020-07-09 21:15:57,5
test2.csv.gz,attack_P1,12,22566,22570,2020-07-09 21:16:06,2020-07-09 21:16:10,5
test2.csv.gz,attack_P1,13,22579,22583,2020-07-09 21:16:19,2020-07-09 21:16:23,5
test2.csv.gz,attack_P1,14,22592,22596,2020-07-09 21:16:32,2020-07-09 21:16:36,5
test2.csv.gz,attack_P1,15,22606,22609,2020-07-09 21:16:46,2020-07-09 21:16:49,4
test2.csv.gz,attack_P1,16,22619,22622,2020-07-09 21:16:59,2020-07-09 21:17:02,4
test2.csv.gz,attack_P1,17,28920,29175,2020-07-09 23:02:00,2020-07-09 23:06:15,256
test2.csv.gz,attack_P1,18,37981,37987,2020-07-10 01:33:01,2020-07-10 01:33:07,7
test2.csv.gz,attack_P1,19,37989,38241,2020-07-10 01:33:09,2020-07-10 01:37:21,253
test2.csv.gz,attack_P1,20,43391,43589,2020-07-10 03:03:11,2020-07-10 03:06:29,199
test2.csv.gz,attack_P1,21,52140,52560,2020-07-10 05:29:00,2020-07-10 05:36:00,421
test2.csv.gz,attack_P1,22,71343,71596,2020-07-10 10:49:03,2020-07-10 10:53:16,254
test2.csv.gz,attack_P1,23,78671,78822,2020-07-10 12:51:11,2020-07-10 12:53:42,152
test2.csv.gz,attack_P1,24,88806,88816,2020-07-10 15:40:06,2020-07-10 15:40:16,11
test2.csv.gz,attack_P1,25,88826,88831,2020-07-10 15:40:26,2020-07-10 15:40:31,6
test2.csv.gz,attack_P1,26,88833,88836,2020-07-10 15:40:33,2020-07-10 15:40:36,4
test2.csv.gz,attack_P1,27,88846,88855,2020-07-10 15:40:46,2020-07-10 15:40:55,10
test2.csv.gz,attack_P1,28,88865,88870,2020-07-10 15:41:05,2020-07-10 15:41:10,6
test2.csv.gz,attack_P1,29,98473,98531,2020-07-10 18:21:13,2020-07-10 18:22:11,59
test2.csv.gz,attack_P1,30,98533,98571,2020-07-10 18:22:13,2020-07-10 18:22:51,39
test2.csv.gz,attack_P2,1,2820,2902,2020-07-09 15:47:00,2020-07-09 15:48:22,83
test2.csv.gz,attack_P2,2,36480,36547,2020-07-10 01:08:00,2020-07-10 01:09:07,68
test2.csv.gz,attack_P2,3,60666,60669,2020-07-10 07:51:06,2020-07-10 07:51:09,4
test2.csv.gz,attack_P2,4,60674,60676,2020-07-10 07:51:14,2020-07-10 07:51:16,3
test2.csv.gz,attack_P2,5,60688,60690,2020-07-10 07:51:28,2020-07-10 07:51:30,3
test2.csv.gz,attack_P2,6,60695,60697,2020-07-10 07:51:35,2020-07-10 07:51:37,3
test2.csv.gz,attack_P2,7,60708,60710,2020-07-10 07:51:48,2020-07-10 07:51:50,3
test2.csv.gz,attack_P2,8,65581,65732,2020-07-10 09:13:01,2020-07-10 09:15:32,152
test2.csv.gz,attack_P2,9,87064,87214,2020-07-10 15:11:04,2020-07-10 15:13:34,151
test2.csv.gz,attack_P2,10,91324,91423,2020-07-10 16:22:04,2020-07-10 16:23:43,100
test2.csv.gz,attack_P2,11,91435,91507,2020-07-10 16:23:55,2020-07-10 16:25:07,73
test2.csv.gz,attack_P3,1,109503,109621,2020-07-10 21:25:03,2020-07-10 21:27:01,119
test2.csv.gz,attack_P3,2,114963,115081,2020-07-10 22:56:03,2020-07-10 22:58:01,119
test3.csv.gz,attack,1,49866,49997,2020-07-13 13:51:06,2020-07-13 13:53:17,132
test3.csv.gz,attack,2,55260,55680,2020-07-13 15:21:00,2020-07-13 15:28:00,421
test3.csv.gz,attack,3,65468,65656,2020-07-13 18:11:08,2020-07-13 18:14:16,189
test3.csv.gz,attack,4,75182,75287,2020-07-13 20:53:02,2020-07-13 20:54:47,106
test3.csv.gz,attack,5,76980,77063,2020-07-13 21:23:00,2020-07-13 21:24:23,84
test3.csv.gz,attack,6,86111,86348,2020-07-13 23:55:11,2020-07-13 23:59:08,238
test3.csv.gz,attack,7,93062,93171,2020-07-14 01:51:02,2020-07-14 01:52:51,110
test3.csv.gz,attack,8,100381,100635,2020-07-14 03:53:01,2020-07-14 03:57:15,255
test3.csv.gz,attack_P1,1,49866,49869,2020-07-13 13:51:06,2020-07-13 13:51:09,4
test3.csv.gz,attack_P1,2,49871,49997,2020-07-13 13:51:11,2020-07-13 13:53:17,127
test3.csv.gz,attack_P1,3,55260,55680,2020-07-13 15:21:00,2020-07-13 15:28:00,421
test3.csv.gz,attack_P1,4,65468,65656,2020-07-13 18:11:08,2020-07-13 18:14:16,189
test3.csv.gz,attack_P1,5,86111,86348,2020-07-13 23:55:11,2020-07-13 23:59:08,238
test3.csv.gz,attack_P1,6,93067,93132,2020-07-14 01:51:07,2020-07-14 01:52:12,66
test3.csv.gz,attack_P1,7,93134,93171,2020-07-14 01:52:14,2020-07-14 01:52:51,38
test3.csv.gz,attack_P1,8,100381,100382,2020-07-14 03:53:01,2020-07-14 03:53:02,2
test3.csv.gz,attack_P1,9,100384,100635,2020-07-14 03:53:04,2020-07-14 03:57:15,252
test3.csv.gz,attack_P2,1,75182,75287,2020-07-13 20:53:02,2020-07-13 20:54:47,106
test3.csv.gz,attack_P2,2,76980,77063,2020-07-13 21:23:00,2020-07-13 21:24:23,84
test3.csv.gz,attack_P2,3,86121,86208,2020-07-13 23:55:21,2020-07-13 23:56:48,88
test3.csv.gz,attack_P2,4,93062,93126,2020-07-14 01:51:02,2020-07-14 01:52:06,65
test3.csv.gz,attack_P2,5,100386,100389,2020-07-14 03:53:06,2020-07-14 03:53:09,4
test3.csv.gz,attack_P2,6,100394,100396,2020-07-14 03:53:14,2020-07-14 03:53:16,3
test3.csv.gz,attack_P2,7,100408,100410,2020-07-14 03:53:28,2020-07-14 03:53:30,3
test3.csv.gz,attack_P2,8,100415,100417,2020-07-14 03:53:35,2020-07-14 03:53:37,3
test3.csv.gz,attack_P2,9,100428,100430,2020-07-14 03:53:48,2020-07-14 03:53:50,3
test3.csv.gz,attack_P2,10,100436,100438,2020-07-14 03:53:56,2020-07-14 03:53:58,3
test3.csv.gz,attack_P2,11,100449,100451,2020-07-14 03:54:09,2020-07-14 03:54:11,3
test3.csv.gz,attack_P2,12,100456,100458,2020-07-14 03:54:16,2020-07-14 03:54:18,3
test3.csv.gz,attack_P2,13,100469,100472,2020-07-14 03:54:29,2020-07-14 03:54:32,4
test4.csv.gz,attack,1,2583,2836,2020-07-28 12:43:03,2020-07-28 12:47:16,254
test4.csv.gz,attack,2,6300,6561,2020-07-28 13:45:00,2020-07-28 13:49:21,262
test4.csv.gz,attack,3,14221,14483,2020-07-28 15:57:01,2020-07-28 16:01:23,263
test4.csv.gz,attack,4,20702,20959,2020-07-28 17:45:02,2020-07-28 17:49:19,258
test4.csv.gz,attack,5,31621,31740,2020-07-28 20:47:01,2020-07-28 20:49:00,120
test4.csv.gz,attack_P1,1,2583,2836,2020-07-28 12:43:03,2020-07-28 12:47:16,254
test4.csv.gz,attack_P1,2,6300,6561,2020-07-28 13:45:00,2020-07-28 13:49:21,262
test4.csv.gz,attack_P1,3,14222,14483,2020-07-28 15:57:02,2020-07-28 16:01:23,262
test4.csv.gz,attack_P1,4,20703,20959,2020-07-28 17:45:03,2020-07-28 17:49:19,257
test4.csv.gz,attack_P2,1,20702,20853,2020-07-28 17:45:02,2020-07-28 17:47:33,152
test4.csv.gz,attack_P2,2,31627,31629,2020-07-28 20:47:07,2020-07-28 20:47:09,3
test4.csv.gz,attack_P2,3,31634,31637,2020-07-28 20:47:14,2020-07-28 20:47:17,4
test4.csv.gz,attack_P2,4,31648,31650,2020-07-28 20:47:28,2020-07-28 20:47:30,3
test4.csv.gz,attack_P2,5,31656,31658,2020-07-28 20:47:36,2020-07-28 20:47:38,3
test4.csv.gz,attack_P2,6,31669,31671,2020-07-28 20:47:49,2020-07-28 20:47:51,3
test4.csv.gz,attack_P2,7,31676,31679,2020-07-28 20:47:56,2020-07-28 20:47:59,4
test4.csv.gz,attack_P2,8,31690,31692,2020-07-28 20:48:10,2020-07-28 20:48:12,3
test4.csv.gz,attack_P3,1,6300,6419,2020-07-28 13:45:00,2020-07-28 13:46:59,120
test4.csv.gz,attack_P3,2,14221,14340,2020-07-28 15:57:01,2020-07-28 15:59:00,120
test4.csv.gz,attack_P3,3,31621,31740,2020-07-28 20:47:01,2020-07-28 20:49:00,120
test5.csv.gz,attack,1,1560,1731,2020-07-30 11:16:00,2020-07-30 11:18:51,172
test5.csv.gz,attack,2,9603,9860,2020-07-30 13:30:03,2020-07-30 13:34:20,258
test5.csv.gz,attack,3,18908,19163,2020-07-30 16:05:08,2020-07-30 16:09:23,256
test5.csv.gz,attack,4,24900,25019,2020-07-30 17:45:00,2020-07-30 17:46:59,120
test5.csv.gz,attack,5,28089,28291,2020-07-30 18:38:09,2020-07-30 18:41:31,203
test5.csv.gz,attack,6,35523,35675,2020-07-30 20:42:03,2020-07-30 20:44:35,153
test5.csv.gz,attack,7,44585,44663,2020-07-30 23:13:05,2020-07-30 23:14:23,79
test5.csv.gz,attack,8,51906,51956,2020-07-31 01:15:06,2020-07-31 01:15:56,51
test5.csv.gz,attack,9,54671,54911,2020-07-31 02:01:11,2020-07-31 02:05:11,241
test5.csv.gz,attack,10,83041,83302,2020-07-31 09:54:01,2020-07-31 09:58:22,262
test5.csv.gz,attack,11,85800,85919,2020-07-31 10:40:00,2020-07-31 10:41:59,120
test5.csv.gz,attack,12,88259,88520,2020-07-31 11:20:59,2020-07-31 11:25:20,262
test5.csv.gz,attack_P1,1,1576,1731,2020-07-30 11:16:16,2020-07-30 11:18:51,156
test5.csv.gz,attack_P1,2,9603,9860,2020-07-30 13:30:03,2020-07-30 13:34:20,258
test5.csv.gz,attack_P1,3,18908,19163,2020-07-30 16:05:08,2020-07-30 16:09:23,256
test5.csv.gz,attack_P1,4,24908,24966,2020-07-30 17:45:08,2020-07-30 17:46:06,59
test5.csv.gz,attack_P1,5,24968,25006,2020-07-30 17:46:08,2020-07-30 17:46:46,39
test5.csv.gz,attack_P1,6,28089,28291,2020-07-30 18:38:09,2020-07-30 18:41:31,203
test5.csv.gz,attack_P1,7,51906,51918,2020-07-31 01:15:06,2020-07-31 01:15:18,13
test5.csv.gz,attack_P1,8,51922,51922,2020-07-31 01:15:22,2020-07-31 01:15:22,1
test5.csv.gz,attack_P1,9,51927,51936,2020-07-31 01:15:27,2020-07-31 01:15:36,10
test5.csv.gz,attack_P1,10,51946,51956,2020-07-31 01:15:46,2020-07-31 01:15:56,11
test5.csv.gz,attack_P1,11,54671,54911,2020-07-31 02:01:11,2020-07-31 02:05:11,241
test5.csv.gz,attack_P1,12,83041,83302,2020-07-31 09:54:01,2020-07-31 09:58:22,262
test5.csv.gz,attack_P1,13,88259,88520,2020-07-31 11:20:59,2020-07-31 11:25:20,262
test5.csv.gz,attack_P2,1,1560,1641,2020-07-30 11:16:00,2020-07-30 11:17:21,82
test5.csv.gz,attack_P2,2,9608,9668,2020-07-30 13:30:08,2020-07-30 13:31:08,61
test5.csv.gz,attack_P2,3,18908,18968,2020-07-30 16:05:08,2020-07-30 16:06:08,61
test5.csv.gz,attack_P2,4,28090,28092,2020-07-30 18:38:10,2020-07-30 18:38:12,3
test5.csv.gz,attack_P2,5,28097,28099,2020-07-30 18:38:17,2020-07-30 18:38:19,3
test5.csv.gz,attack_P2,6,28111,28113,2020-07-30 18:38:31,2020-07-30 18:38:33,3
test5.csv.gz,attack_P2,7,28118,28121,2020-07-30 18:38:38,2020-07-30 18:38:41,4
test5.csv.gz,attack_P2,8,28131,28134,2020-07-30 18:38:51,2020-07-30 18:38:54,4
test5.csv.gz,attack_P2,9,28139,28141,2020-07-30 18:38:59,2020-07-30 18:39:01,3
test5.csv.gz,attack_P2,10,28152,28154,2020-07-30 18:39:12,2020-07-30 18:39:14,3
test5.csv.gz,attack_P2,11,28160,28162,2020-07-30 18:39:20,2020-07-30 18:39:22,3
test5.csv.gz,attack_P2,12,35524,35675,2020-07-30 20:42:04,2020-07-30 20:44:35,152
test5.csv.gz,attack_P2,13,44585,44650,2020-07-30 23:13:05,2020-07-30 23:14:10,66
test5.csv.gz,attack_P2,14,44652,44654,2020-07-30 23:14:12,2020-07-30 23:14:14,3
test5.csv.gz,attack_P2,15,44659,44661,2020-07-30 23:14:19,2020-07-30 23:14:21,3
test5.csv.gz,attack_P2,16,44663,44663,2020-07-30 23:14:23,2020-07-30 23:14:23,1
test5.csv.gz,attack_P2,17,85801,85870,2020-07-31 10:40:01,2020-07-31 10:41:10,70
test5.csv.gz,attack_P3,1,24900,25019,2020-07-30 17:45:00,2020-07-30 17:46:59,120
test5.csv.gz,attack_P3,2,35523,35642,2020-07-30 20:42:03,2020-07-30 20:44:02,120
test5.csv.gz,attack_P3,3,85800,85919,2020-07-31 10:40:00,2020-07-31 10:41:59,120
