file,split,point,minimum,maximum,constant_in_file
test2.csv.gz,test,P1_FCV03Z,33.79211,92.7063,False
test2.csv.gz,test,P1_FT01,-15.79287,853.95813,False
test2.csv.gz,test,P1_FT01Z,0.0,1859.27478,False
test2.csv.gz,test,P1_FT02,5.18801,2011.52795,False
test2.csv.gz,test,P1_FT02Z,27.01222,2860.9773,False
test2.csv.gz,test,P1_FT03,120.17726,351.21292,False
test2.csv.gz,test,P1_FT03Z,625.7229,1178.22803,False
test2.csv.gz,test,P1_LCV01D,0.0,97.0,False
test2.csv.gz,test,P1_LCV01Z,0.27619,98.22997,False
test2.csv.gz,test,P1_LIT01,162.61324,552.07324,False
test2.csv.gz,test,P1_PCV01D,0.0,100.0,False
test2.csv.gz,test,P1_PCV01Z,0.36011,100.0,False
test2.csv.gz,test,P1_PCV02D,12.0,25.0,False
test2.csv.gz,test,P1_PCV02Z,11.99493,25.01068,False
test2.csv.gz,test,P1_PIT01,0.09781,2.41943,False
test2.csv.gz,test,P1_PIT02,0.17181,2.34543,False
test2.csv.gz,test,P1_PP01AD,540833.0,540833.0,True
test2.csv.gz,test,P1_PP01AR,540833.0,540833.0,True
test2.csv.gz,test,P1_PP01BD,0.0,0.0,True
test2.csv.gz,test,P1_PP01BR,0.0,0.0,True
test2.csv.gz,test,P1_PP02D,1.0,1.0,True
test2.csv.gz,test,P1_PP02R,1.0,1.0,True
test2.csv.gz,test,P1_STSP,1.0,1.0,True
test2.csv.gz,test,P1_TIT01,34.70459,36.91711,False
test2.csv.gz,test,P1_TIT02,34.97925,40.41137,False
test2.csv.gz,test,P2_24Vdc,28.01429,28.04207,False
test2.csv.gz,test,P2_ASD,0.0,0.0,True
test2.csv.gz,test,P2_AutoGO,1.0,1.0,True
test2.csv.gz,test,P2_CO_rpm,51648.0,54758.0,False
test2.csv.gz,test,P2_Emerg,0.0,1.0,False
test2.csv.gz,test,P2_HILout,666.64429,744.23218,False
test2.csv.gz,test,P2_MSD,763.19324,763.19324,True
test2.csv.gz,test,P2_ManualGO,0.0,0.0,True
test2.csv.gz,test,P2_OnOff,0.0,1.0,False
test2.csv.gz,test,P2_RTR,2880.0,2880.0,True
test2.csv.gz,test,P2_SIT01,0.0,895.0,False
test2.csv.gz,test,P2_SIT02,0.0,895.34332,False
test2.csv.gz,test,P2_TripEx,1.0,1.0,True
test2.csv.gz,test,P2_VT01,2e-05,12.25858,False
test2.csv.gz,test,P2_VTR01,10.0,10.0,True
test2.csv.gz,test,P2_VTR02,10.0,10.0,True
test2.csv.gz,test,P2_VTR03,10.0,10.0,True
test2.csv.gz,test,P2_VTR04,10.0,10.0,True
test2.csv.gz,test,P2_VXT02,-89.2287,0.0,False
test2.csv.gz,test,P2_VXT03,-88.6514,0.0,False
test2.csv.gz,test,P2_VYT02,-88.5897,4.8643,False
test2.csv.gz,test,P2_VYT03,-86.12189,6.834,False
test2.csv.gz,test,P3_FIT01,-30.0,7761.0,False
test2.csv.gz,test,P3_LCP01D,-8.0,20592.0,False
test2.csv.gz,test,P3_LCV01D,-288.0,23392.0,False
test2.csv.gz,test,P3_LH,70.0,70.0,True
test2.csv.gz,test,P3_LIT01,5104.0,20489.0,False
test2.csv.gz,test,P3_LL,20.0,20.0,True
test2.csv.gz,test,P3_PIT01,-27.0,7090.0,False
test2.csv.gz,test,P4_HT_FD,-0.04188,0.02669,False
test2.csv.gz,test,P4_HT_LD,-0.00723,82.87762,False
test2.csv.gz,test,P4_HT_PO,0.01807,82.73657,False
test2.csv.gz,test,P4_HT_PS,0.0,10.0,False
test2.csv.gz,test,P4_LD,236.09302,499.51172,False
test2.csv.gz,test,P4_ST_FD,-0.02423,0.02611,False
test2.csv.gz,test,P4_ST_GOV,12865.0,26123.0,False
test2.csv.gz,test,P4_ST_LD,235.22498,496.45544,False
test2.csv.gz,test,P4_ST_PO,239.14935,484.62817,False
test2.csv.gz,test,P4_ST_PS,0.0,50.0,False
test2.csv.gz,test,P4_ST_PT01,9696.0,10330.0,False
test2.csv.gz,test,P4_ST_TT01,27538.0,27627.0,False
test3.csv.gz,test,P1_B2004,0.03011,0.10062,False
test3.csv.gz,test,P1_B2016,0.96812,2.00963,False
test3.csv.gz,test,P1_B3004,381.97888,435.50229,False
test3.csv.gz,test,P1_B3005,1013.87469,1121.94116,False
test3.csv.gz,test,P1_B4002,31.37905,32.56251,False
test3.csv.gz,test,P1_B4005,0.0,100.0,False
test3.csv.gz,test,P1_B400B,26.01891,2853.58594,False
test3.csv.gz,test,P1_B4022,34.35104,37.64633,False
test3.csv.gz,test,P1_FCV01D,0.0,100.0,False
test3.csv.gz,test,P1_FCV01Z,0.26093,100.0,False
test3.csv.gz,test,P1_FCV02D,0.0,100.0,False
test3.csv.gz,test,P1_FCV02Z,-1.89057,97.39837,False
test3.csv.gz,test,P1_FCV03D,45.23735,91.78921,False
test3.csv.gz,test,P1_FCV03Z,45.73975,93.11066,False
test3.csv.gz,test,P1_FT01,-15.60213,869.9798,False
test3.csv.gz,test,P1_FT01Z,0.0,1876.57825,False
test3.csv.gz,test,P1_FT02,4.99723,2000.8468,False
test3.csv.gz,test,P1_FT02Z,26.01891,2853.58594,False
test3.csv.gz,test,P1_FT03,179.87538,343.9021,False
test3.csv.gz,test,P1_FT03Z,849.11585,1166.00427,False
test3.csv.gz,test,P1_LCV01D,0.0,97.0,False
test3.csv.gz,test,P1_LCV01Z,0.26855,98.16894,False
test3.csv.gz,test,P1_LIT01,174.67679,590.0531,False
test3.csv.gz,test,P1_PCV01D,0.0,100.0,False
test3.csv.gz,test,P1_PCV01Z,0.35248,100.0,False
test3.csv.gz,test,P1_PCV02D,12.0,25.0,False
test3.csv.gz,test,P1_PCV02Z,11.75842,25.24719,False
test3.csv.gz,test,P1_PIT01,0.065,2.38434,False
test3.csv.gz,test,P1_PIT02,0.17181,2.33933,False
test3.csv.gz,test,P1_PP01AD,540833.0,540833.0,True
test3.csv.gz,test,P1_PP01AR,540833.0,540833.0,True
test3.csv.gz,test,P1_PP01BD,0.0,0.0,True
test3.csv.gz,test,P1_PP01BR,0.0,0.0,True
test3.csv.gz,test,P1_PP02D,1.0,1.0,True
test3.csv.gz,test,P1_PP02R,1.0,1.0,True
test3.csv.gz,test,P1_STSP,1.0,1.0,True
test3.csv.gz,test,P1_TIT01,34.61304,36.8866,False
test3.csv.gz,test,P1_TIT02,34.97925,40.41137,False
test3.csv.gz,test,P2_24Vdc,28.01342,28.04031,False
test3.csv.gz,test,P2_ASD,0.0,0.0,True
test3.csv.gz,test,P2_AutoGO,1.0,1.0,True
test3.csv.gz,test,P2_CO_rpm,51648.0,54754.0,False
test3.csv.gz,test,P2_Emerg,0.0,1.0,False
test3.csv.gz,test,P2_HILout,662.40845,773.11401,False
test3.csv.gz,test,P2_MSD,763.19324,763.19324,True
test3.csv.gz,test,P2_ManualGO,0.0,0.0,True
test3.csv.gz,test,P2_OnOff,0.0,1.0,False
test3.csv.gz,test,P2_RTR,2880.0,2880.0,True
test3.csv.gz,test,P2_SIT01,0.0,895.0,False
test3.csv.gz,test,P2_SIT02,0.0,895.12695,False
test3.csv.gz,test,P2_TripEx,1.0,1.0,True
test3.csv.gz,test,P2_VT01,-0.04018,13.02445,False
test3.csv.gz,test,P2_VTR01,10.0,10.0,True
test3.csv.gz,test,P2_VTR02,10.0,10.0,True
test3.csv.gz,test,P2_VTR03,10.0,10.0,True
test3.csv.gz,test,P2_VTR04,10.0,10.0,True
test3.csv.gz,test,P2_VXT02,-115.6774,0.0,False
test3.csv.gz,test,P2_VXT03,-115.2355,0.0883,False
test3.csv.gz,test,P2_VYT02,-116.39729,4.4008,False
test3.csv.gz,test,P2_VYT03,-114.2438,6.4229,False
test3.csv.gz,test,P3_FIT01,-27.0,5395.0,False
test3.csv.gz,test,P3_LCP01D,0.0,13816.0,False
test3.csv.gz,test,P3_LCV01D,-288.0,18128.0,False
test3.csv.gz,test,P3_LH,70.0,70.0,True
test3.csv.gz,test,P3_LIT01,5106.0,19505.0,False
test3.csv.gz,test,P3_LL,20.0,20.0,True
test3.csv.gz,test,P3_PIT01,-24.0,3852.0,False
test3.csv.gz,test,P4_HT_FD,-0.0455,0.03479,False
test3.csv.gz,test,P4_HT_LD,-0.00723,82.38571,False
test3.csv.gz,test,P4_HT_PO,0.05423,89.55438,False
test3.csv.gz,test,P4_HT_PS,0.0,10.0,False
test3.csv.gz,test,P4_LD,232.13251,497.07031,False
test3.csv.gz,test,P4_ST_FD,-0.04789,0.01251,False
test3.csv.gz,test,P4_ST_GOV,12696.0,26450.0,False
test3.csv.gz,test,P4_ST_LD,231.22827,495.65973,False
test3.csv.gz,test,P4_ST_PO,235.74945,491.50031,False
test3.csv.gz,test,P4_ST_PS,0.0,50.0,False
test3.csv.gz,test,P4_ST_PT01,9695.0,10330.0,False
test3.csv.gz,test,P4_ST_TT01,27531.0,27627.0,False
test4.csv.gz,test,P1_B2004,0.05974,0.10148,False
test4.csv.gz,test,P1_B2016,1.01848,1.97938,False
test4.csv.gz,test,P1_B3004,374.63861,421.82266,False
test4.csv.gz,test,P1_B3005,995.51862,1114.95325,False
test4.csv.gz,test,P1_B4002,31.82315,33.28899,False
test4.csv.gz,test,P1_B4005,0.0,100.0,False
test4.csv.gz,test,P1_B400B,26.01891,2851.93872,False
test4.csv.gz,test,P1_B4022,34.77149,38.45597,False
test4.csv.gz,test,P1_FCV01D,0.0,100.0,False
test4.csv.gz,test,P1_FCV01Z,0.28381,99.93896,False
test4.csv.gz,test,P1_FCV02D,0.0,100.0,False
test4.csv.gz,test,P1_FCV02Z,-1.89057,97.21527,False
test4.csv.gz,test,P1_FCV03D,24.49845,70.26814,False
test4.csv.gz,test,P1_FCV03Z,24.94202,71.66443,False
test4.csv.gz,test,P1_FT01,-15.41139,887.146,False
test4.csv.gz,test,P1_FT01Z,0.0,1895.11768,False
test4.csv.gz,test,P1_FT02,4.99723,1998.55811,False
test4.csv.gz,test,P1_FT02Z,26.01891,2851.93872,False
test4.csv.gz,test,P1_FT03,169.00377,314.33914,False
test4.csv.gz,test,P1_FT03Z,824.32861,1116.57507,False
test4.csv.gz,test,P1_LCV01D,0.0,49.56277,False
test4.csv.gz,test,P1_LCV01Z,0.28381,49.06616,False
test4.csv.gz,test,P1_LIT01,347.91211,552.0221,False
test4.csv.gz,test,P1_PCV01D,12.60918,100.0,False
test4.csv.gz,test,P1_PCV01Z,13.9328,100.0,False
test4.csv.gz,test,P1_PCV02D,12.0,16.80403,False
test4.csv.gz,test,P1_PCV02Z,11.90338,15.33661,False
test4.csv.gz,test,P1_PIT01,0.16724,2.36984,False
test4.csv.gz,test,P1_PIT02,0.17181,2.32407,False
test4.csv.gz,test,P1_PP01AD,540833.0,540833.0,True
test4.csv.gz,test,P1_PP01AR,540833.0,540833.0,True
test4.csv.gz,test,P1_PP01BD,0.0,0.0,True
test4.csv.gz,test,P1_PP01BR,0.0,0.0,True
test4.csv.gz,test,P1_PP02D,1.0,1.0,True
test4.csv.gz,test,P1_PP02R,1.0,1.0,True
test4.csv.gz,test,P1_STSP,1.0,1.0,True
test4.csv.gz,test,P1_TIT01,34.46044,36.8866,False
test4.csv.gz,test,P1_TIT02,34.99451,40.41137,False
test4.csv.gz,test,P2_24Vdc,28.01605,28.04213,False
test4.csv.gz,test,P2_ASD,0.0,0.0,True
test4.csv.gz,test,P2_AutoGO,1.0,1.0,True
test4.csv.gz,test,P2_CO_rpm,54026.0,54822.0,False
test4.csv.gz,test,P2_Emerg,0.0,0.0,True
test4.csv.gz,test,P2_HILout,677.99072,775.37842,False
test4.csv.gz,test,P2_MSD,763.19324,763.19324,True
test4.csv.gz,test,P2_ManualGO,0.0,0.0,True
test4.csv.gz,test,P2_OnOff,1.0,1.0,True
test4.csv.gz,test,P2_RTR,2880.0,2880.0,True
test4.csv.gz,test,P2_SIT01,736.0,906.0,False
test4.csv.gz,test,P2_SIT02,736.26794,905.71509,False
test4.csv.gz,test,P2_TripEx,1.0,1.0,True
test4.csv.gz,test,P2_VT01,11.80737,12.03,False
test4.csv.gz,test,P2_VTR01,10.0,10.0,True
test4.csv.gz,test,P2_VTR02,10.0,10.0,True
test4.csv.gz,test,P2_VTR03,10.0,10.0,True
test4.csv.gz,test,P2_VTR04,10.0,10.0,True
test4.csv.gz,test,P2_VXT02,-3.8411,-1.9738,False
test4.csv.gz,test,P2_VXT03,-1.4944,0.1754,False
test4.csv.gz,test,P2_VYT02,2.9397,4.6729,False
test4.csv.gz,test,P2_VYT03,5.0075,6.6441,False
test4.csv.gz,test,P3_FIT01,-26.0,5404.0,False
test4.csv.gz,test,P3_LCP01D,-8.0,13816.0,False
test4.csv.gz,test,P3_LCV01D,-288.0,28752.0,False
test4.csv.gz,test,P3_LH,70.0,70.0,True
test4.csv.gz,test,P3_LIT01,5111.0,19500.0,False
test4.csv.gz,test,P3_LL,20.0,20.0,True
test4.csv.gz,test,P3_PIT01,-24.0,3793.0,False
test4.csv.gz,test,P4_HT_FD,-0.02438,0.03545,False
test4.csv.gz,test,P4_HT_LD,-0.00723,82.94995,False
test4.csv.gz,test,P4_HT_PO,0.05423,87.2215,False
test4.csv.gz,test,P4_HT_PS,0.0,10.0,False
test4.csv.gz,test,P4_LD,236.63556,499.74683,False
test4.csv.gz,test,P4_ST_FD,-0.00745,0.05049,False
test4.csv.gz,test,P4_ST_GOV,13063.0,26001.0,False
test4.csv.gz,test,P4_ST_LD,236.88879,488.69714,False
test4.csv.gz,test,P4_ST_PO,242.42261,481.80701,False
test4.csv.gz,test,P4_ST_PS,0.0,50.0,False
test4.csv.gz,test,P4_ST_PT01,9722.0,10329.0,False
test4.csv.gz,test,P4_ST_TT01,27519.0,27627.0,False
test5.csv.gz,test,P1_B2004,0.03031,0.10193,False
test5.csv.gz,test,P1_B2016,0.95914,1.99161,False
test5.csv.gz,test,P1_B3004,387.47113,448.76343,False
test5.csv.gz,test,P1_B3005,902.98114,1113.86414,False
test5.csv.gz,test,P1_B4002,31.43082,33.04017,False
test5.csv.gz,test,P1_B4005,0.0,100.0,False
test5.csv.gz,test,P1_B400B,25.02598,2853.71802,False
test5.csv.gz,test,P1_B4022,34.22544,37.97369,False
test5.csv.gz,test,P1_FCV01D,0.0,100.0,False
test5.csv.gz,test,P1_FCV01Z,0.27619,100.0,False
test5.csv.gz,test,P1_FCV02D,0.0,100.0,False
test5.csv.gz,test,P1_FCV02Z,-1.89057,97.34497,False
test5.csv.gz,test,P1_FCV03D,0.0,93.40085,False
test5.csv.gz,test,P1_FCV03Z,0.25329,86.00005,False
test5.csv.gz,test,P1_FT01,-15.41139,976.60065,False
test5.csv.gz,test,P1_FT01Z,0.0,1991.72876,False
test5.csv.gz,test,P1_FT02,4.80653,2001.03748,False
test5.csv.gz,test,P1_FT02Z,25.02598,2853.71802,False
test5.csv.gz,test,P1_FT03,53.06242,342.21646,False
test5.csv.gz,test,P1_FT03Z,276.27835,1163.18591,False
test5.csv.gz,test,P1_LCV01D,0.0,73.77839,False
test5.csv.gz,test,P1_LCV01Z,0.27619,74.03717,False
test5.csv.gz,test,P1_LIT01,310.59677,643.77698,False
test5.csv.gz,test,P1_PCV01D,7.61402,100.0,False
test5.csv.gz,test,P1_PCV01Z,7.62329,99.99237,False
test5.csv.gz,test,P1_PCV02D,12.0,20.05089,False
test5.csv.gz,test,P1_PCV02Z,11.78131,20.18127,False
test5.csv.gz,test,P1_PIT01,0.1619,2.40494,False
test5.csv.gz,test,P1_PIT02,0.17029,2.33704,False
test5.csv.gz,test,P1_PP01AD,540833.0,540833.0,True
test5.csv.gz,test,P1_PP01AR,540833.0,540833.0,True
test5.csv.gz,test,P1_PP01BD,0.0,0.0,True
test5.csv.gz,test,P1_PP01BR,0.0,0.0,True
test5.csv.gz,test,P1_PP02D,1.0,1.0,True
test5.csv.gz,test,P1_PP02R,1.0,1.0,True
test5.csv.gz,test,P1_STSP,1.0,1.0,True
test5.csv.gz,test,P1_TIT01,34.70459,36.96288,False
test5.csv.gz,test,P1_TIT02,34.97925,40.4419,False
test5.csv.gz,test,P2_24Vdc,28.01521,28.04294,False
test5.csv.gz,test,P2_ASD,0.0,0.0,True
test5.csv.gz,test,P2_AutoGO,1.0,1.0,True
test5.csv.gz,test,P2_CO_rpm,51648.0,54723.0,False
test5.csv.gz,test,P2_Emerg,0.0,1.0,False
test5.csv.gz,test,P2_HILout,667.12036,740.47241,False
test5.csv.gz,test,P2_MSD,763.19324,763.19324,True
test5.csv.gz,test,P2_ManualGO,0.0,0.0,True
test5.csv.gz,test,P2_OnOff,0.0,1.0,False
test5.csv.gz,test,P2_RTR,2880.0,2880.0,True
test5.csv.gz,test,P2_SIT01,0.0,895.0,False
test5.csv.gz,test,P2_SIT02,0.0,894.76386,False
test5.csv.gz,test,P2_TripEx,1.0,1.0,True
test5.csv.gz,test,P2_VT01,2e-05,13.10113,False
test5.csv.gz,test,P2_VTR01,10.0,10.0,True
test5.csv.gz,test,P2_VTR02,10.0,10.0,True
test5.csv.gz,test,P2_VTR03,10.0,10.0,True
test5.csv.gz,test,P2_VTR04,10.0,10.0,True
test5.csv.gz,test,P2_VXT02,-125.1488,0.0,False
test5.csv.gz,test,P2_VXT03,-125.01299,0.6118,False
test5.csv.gz,test,P2_VYT02,-126.1897,4.8323,False
test5.csv.gz,test,P2_VYT03,-124.5646,6.8704,False
test5.csv.gz,test,P3_FIT01,-27.0,5391.0,False
test5.csv.gz,test,P3_LCP01D,-8.0,13816.0,False
test5.csv.gz,test,P3_LCV01D,-288.0,29408.0,False
test5.csv.gz,test,P3_LH,70.0,70.0,True
test5.csv.gz,test,P3_LIT01,5024.0,19495.0,False
test5.csv.gz,test,P3_LL,20.0,20.0,True
test5.csv.gz,test,P3_PIT01,-25.0,3800.0,False
test5.csv.gz,test,P4_HT_FD,-0.02532,0.02691,False
test5.csv.gz,test,P4_HT_LD,-0.00723,82.82697,False
test5.csv.gz,test,P4_HT_PO,0.01807,82.73657,False
test5.csv.gz,test,P4_HT_PS,0.0,10.0,False
test5.csv.gz,test,P4_LD,231.33685,499.74683,False
test5.csv.gz,test,P4_ST_FD,-0.0298,0.0366,False
test5.csv.gz,test,P4_ST_GOV,12660.0,26118.0,False
test5.csv.gz,test,P4_ST_LD,231.11981,490.28863,False
test5.csv.gz,test,P4_ST_PO,235.6228,483.63355,False
test5.csv.gz,test,P4_ST_PS,0.0,50.0,False
test5.csv.gz,test,P4_ST_PT01,9722.0,10330.0,False
test5.csv.gz,test,P4_ST_TT01,27538.0,27627.0,False
train1.csv.gz,train,P1_B2004,0.02989,0.10135,False
train1.csv.gz,train,P1_B2016,0.94729,2.01033,False
train1.csv.gz,train,P1_B3004,369.75601,443.27078,False
train1.csv.gz,train,P1_B3005,894.71869,1121.94116,False
train1.csv.gz,train,P1_B4002,31.64864,33.6555,False
train1.csv.gz,train,P1_B4005,0.0,100.0,False
train1.csv.gz,train,P1_B400B,25.02598,2857.54565,False
train1.csv.gz,train,P1_B4022,34.51994,38.59985,False
train1.csv.gz,train,P1_FCV01D,0.0,100.0,False
train1.csv.gz,train,P1_FCV01Z,0.26093,100.0,False
train1.csv.gz,train,P1_FCV02D,0.0,100.0,False
train1.csv.gz,train,P1_FCV02Z,-1.89819,97.25341,False
train1.csv.gz,train,P1_FCV03D,45.96558,71.90733,False
train1.csv.gz,train,P1_FCV03Z,46.35773,73.30474,False
train1.csv.gz,train,P1_FT01,-9.30788,352.89764,False
train1.csv.gz,train,P1_FT01Z,0.0,1181.04492,False
train1.csv.gz,train,P1_FT02,4.80653,2006.56897,False
train1.csv.gz,train,P1_FT02Z,25.02598,2857.54565,False
train1.csv.gz,train,P1_FT03,187.88596,322.3497,False
train1.csv.gz,train,P1_FT03Z,867.38,1129.96875,False
train1.csv.gz,train,P1_LCV01D,2.85095,23.31606,False
train1.csv.gz,train,P1_LCV01Z,2.39716,23.66028,False
train1.csv.gz,train,P1_LIT01,357.26651,453.41748,False
train1.csv.gz,train,P1_PCV01D,24.99937,100.0,False
train1.csv.gz,train,P1_PCV01Z,25.53711,100.0,False
train1.csv.gz,train,P1_PCV02D,12.0,12.0,True
train1.csv.gz,train,P1_PCV02Z,11.99493,12.04071,False
train1.csv.gz,train,P1_PIT01,0.94772,2.37824,False
train1.csv.gz,train,P1_PIT02,0.17105,2.34695,False
train1.csv.gz,train,P1_PP01AD,540833.0,540833.0,True
train1.csv.gz,train,P1_PP01AR,540833.0,540833.0,True
train1.csv.gz,train,P1_PP01BD,0.0,0.0,True
train1.csv.gz,train,P1_PP01BR,0.0,0.0,True
train1.csv.gz,train,P1_PP02D,1.0,1.0,True
train1.csv.gz,train,P1_PP02R,1.0,1.0,True
train1.csv.gz,train,P1_STSP,1.0,1.0,True
train1.csv.gz,train,P1_TIT01,34.68933,36.90185,False
train1.csv.gz,train,P1_TIT02,34.97925,40.4419,False
train1.csv.gz,train,P2_24Vdc,28.01254,28.04642,False
train1.csv.gz,train,P2_ASD,0.0,0.0,True
train1.csv.gz,train,P2_AutoGO,1.0,1.0,True
train1.csv.gz,train,P2_CO_rpm,53993.0,54184.0,False
train1.csv.gz,train,P2_Emerg,0.0,0.0,True
train1.csv.gz,train,P2_HILout,674.41406,740.82031,False
train1.csv.gz,train,P2_MSD,763.19324,763.19324,True
train1.csv.gz,train,P2_ManualGO,0.0,0.0,True
train1.csv.gz,train,P2_OnOff,1.0,1.0,True
train1.csv.gz,train,P2_RTR,2880.0,2880.0,True
train1.csv.gz,train,P2_SIT01,756.0,813.0,False
train1.csv.gz,train,P2_SIT02,756.28235,813.26331,False
train1.csv.gz,train,P2_TripEx,1.0,1.0,True
train1.csv.gz,train,P2_VT01,11.76047,12.05567,False
train1.csv.gz,train,P2_VTR01,10.0,10.0,True
train1.csv.gz,train,P2_VTR02,10.0,10.0,True
train1.csv.gz,train,P2_VTR03,10.0,10.0,True
train1.csv.gz,train,P2_VTR04,10.0,10.0,True
train1.csv.gz,train,P2_VXT02,-4.4009,-2.0931,False
train1.csv.gz,train,P2_VXT03,-2.1603,-0.0557,False
